Num;Question;Answer;B;C;D
1;"What is the ""King of the Jungle""?";Lion;Tiger;Elephant;Giraffe
2;"Which animal is known as ""man's best friend""?";Dog;Cat;Horse;Rabbit
3;What is the largest species of shark?;Whale Shark;Hammerhead Shark;Great White Shark;Tiger Shark
4;Which bird is famous for its colorful plumage and is often kept as a pet?;Parrot;Sparrow;Crow;Penguin
5;Which reptile is known for its ability to change color to blend in with its surroundings?;Chameleon;Crocodile;Iguana;Turtle
6;What is the largest land animal on Earth?;Elephant;Rhinoceros;Giraffe;Hippopotamus
7;Which big cat is known for its distinctive black fur and is native to India?;Black Panther;Cheetah;Jaguar;Leopard
8;What is the national bird of the United States?;Bald Eagle;Peregrine Falcon;Turkey;Blue Jay
9;"Which marine mammal is often called the ""sea cow"" due to its slow-moving nature?";Manatee;Seal;Dolphin;Penguin
10;Which animal is known for its ability to regenerate lost body parts, such as limbs?;Starfish;Octopus;Jellyfish;Seahorse
11;What is the largest species of penguin, known for its distinctive yellow markings on its head and neck?;King Penguin;Emperor Penguin;Adélie Penguin;Gentoo Penguin
12;Which of the following animals is a marsupial?;Kangaroo;Zebra;Hippopotamus;Rhino
13;Which bird is known for its long, curved bill and is often associated with tropical regions?;Flamingo;Pelican;Puffin;Albatross
14;What is the smallest species of deer?;Musk Deer;Moose;Elk;Roe Deer
15;Which animal is known for its ability to emit a strong, foul-smelling odor as a defense mechanism?;Skunk;Raccoon;Squirrel;Beaver
16;What is the fastest land animal on Earth?;Cheetah;Lion;Gazelle;Ostrich
17;Which reptile is known for its hard protective shell?;Turtle;Crocodile;Snake;Lizard
18;What is the largest species of pachyderm (thick-skinned mammal)?;Elephant;Rhinoceros;Hippopotamus;Giraffe
19;Which animal is known for its ability to glide from tree to tree using a membrane stretched between its limbs?;Flying Squirrel;Chipmunk;Groundhog;Porcupine
20; What is the largest species of sea turtle, known for its size and powerful flippers?;Leatherback Turtle;Green Turtle;Hawksbill Turtle;Loggerhead Turtle
