Num;Question;Answer;B;C;D
1;Which country is known as the Land of the Rising Sun?;Japan;China;India;Australia
2;Which European country is famous for its canals, windmills, and tulip fields?;Netherlands;France;Italy;Germany
3;Which South American country is the largest by land area?;Brazil;Argentina;Chile;Peru
4;"Which country is often referred to as the ""Land Down Under""?";Australia;Canada;United States;New Zealand
5; Which European country is famous for its historical landmarks such as the Colosseum and the Vatican City?;Italy;Greece;Spain;Portugal
6;"Which Asian country is often called the ""Land of the Morning Calm""?";South Korea;Japan;China;Thailand
7;Which country is known for its ancient pyramids, including the Great Pyramid of Giza?;Egypt;Sudan;Libya;Algeria
8;"Which African country is known as the ""Rainbow Nation"" due to its diverse population?";South Africa;Kenya;Egypt;Nigeria
9;Which European country is home to the famous Eiffel Tower?;France;Germany;Spain;Belgium
10;"Which country is often called the ""Land of the Midnight Sun"" due to its northern location?";Norway;Sweden;Canada;Russia
11;Which African country is known for the Sahara Desert, the largest hot desert in the world?;Algeria;Morocco;Tunisia;Libya
12;Which Central American country is famous for its ancient Mayan ruins, including Chichen Itza?;Guatemala;Mexico;Belize;Honduras
13;Which country is located on the Scandinavian Peninsula and is famous for its fjords?;Norway;Denmark;Iceland;Finland
14;Which South American country is home to the Amazon Rainforest?;Brazil;Argentina;Colombia;Venezuela
15;Which country is known for its famous windmills, wooden shoes, and tulip fields?;Netherlands;France;Italy;Germany
16;Which Asian country is famous for its ancient temples, including Angkor Wat?;Cambodia;Thailand;Vietnam;Laos
17;"Which country is often referred to as the ""Emerald Isle"" due to its lush green landscapes?";Ireland;Scotland;Wales;England
18;Which African country is known for its famous Victoria Falls?;Zimbabwe;Zambia;Kenya;Tanzania
19;Which African country is known for its diverse wildlife and safaris in national parks like the Serengeti?;South Africa;Kenya;Egypt;Nigeria
20;Which Central American country is famous for its ancient Mayan ruins, including Tikal?;Guatemala;Mexico;Belize;Honduras
